naam,functie,geslacht,geboortedatum,overlijdensdatum,doel,bestemming,van,tot_en_met,betaald_door
Matthijs Sienot (M.F.),Oud Kamerlid,man,1972-03-07,,Klimaattop,"Madrid, Spanje",2019-12-07,2019-12-12,Tweede Kamer der Staten-Generaal
Matthijs Sienot (M.F.),Oud Kamerlid,man,1972-03-07,,IPC Klimaat,"Helsinki, Finland",2019-10-06,2019-10-07,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,"Kiev, Oekraïne",2016-03-20,2016-03-22,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Conferentie IPAC (Inter-Pariamentary Alliance on China),"Washington D.C., Verenigde Staten",2022-09-11,2022-09-15,Fractie D66/IPAC
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Bijwonen Parliamentary transatlantic Forum,"Washington D.C., Verenigde Staten",2019-12-08,2019-12-11,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,"Berlijn, Duitsland",2019-11-28,2019-11-30,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,China,2013-05-03,2013-05-11,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek,Curaçao,2019-08-24,2019-08-28,D66 Internationaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Delegatiebezoek vaste commissie voor Buitenlandse Zaken,Moldavië en Georgië,2014-04-27,2014-05-03,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Congres Liberale International,"Beiroet, Libanon",2013-04-11,2013-04-14,Voor eigen rekening
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Bezoek aan de Veiligheidsraad met de vaste commissie voor Buitenlandse Zaken,"New York, Verenigde Staten",2018-02-25,2018-02-28,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Japan en Zuid-Korea,2023-04-22,2023-04-28,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek in het kader van anti-homowetgeving,Oeganda,2014-08-04,2014-08-09,Voor eigen rekening
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Factfinding missie ten behoeve van de artikel 100 discussie Mali,Mali,2013-08-12,2013-08-16,Voor eigen rekening
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Bezoek aan de Nederlandse troepen in het Midden-Oosten,Jordanië en Irak,2016-04-29,2016-05-02,Tweede Kamer der Staten-Generaal en Ministerie van Defensie
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Armenië,2015-05-11,2015-05-14,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Verenigde Staten,2019-04-28,2019-05-04,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek IPAC aan Taiwan (Inter-Parliamentary Alliance on China),Taiwan,2022-10-31,2022-11-03,"Deels betaald door IPAC, Taiwan en eigen rekening"
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Bezoek aan ALDE-congres,"Londen, Verenigd Koninkrijk",2013-11-28,2013-11-30,D66-internationaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek,"Oslo, Noorwegen",2019-05-27,2019-05-28,Oslo Freedom Forum
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Rwanda en Uganda,2015-08-15,2015-08-23,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Deelname aan handelsmissie onder leiding van de minister voor Buitenlandse Handel en Ontwikkelingssamenwerking,Colombia,2014-11-24,2014-11-27,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Saudi Arabië,2018-05-06,2018-05-11,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Verenigde Staten,2022-04-24,2022-04-29,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,EU-conferentie,"Stockholm, Zweden",2023-03-02,2023-03-03,Tweede Kamer der Staten-Generaal
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek,"Gaziantep, Turkije",2016-06-16,2016-06-18,Landelijk Bureau van D'66
Sjoerd Sjoerdsma (S.W.),Tweede Kamerlid,man,1981-07-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Oekraïne,2023-02-05,2023-02-07,Tweede Kamer der Staten-Generaal
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Bezoek aan waterprojecten ZOA-vluchtelingenzorg en vluchtelingenkampen in Oost-Ethiopië.,Oost-Ethiopië,2008-10-11,2008-10-18,ZOA-vluchtelingenzorg.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,"Deelname werkbezoek Commissie Landbouw, Natuur en Voedselkwaliteit.",Verenigde Staten,2006-05-06,2006-05-13,Tweede Kamer der Staten-Generaal.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,100-jarige herdenking van de Armeense genocide.,Armenië,2015-04-23,2015-04-25,Fractie ChristenUnie.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Werkbezoek.,Curaçao en Bonaire,2010-10-16,2010-10-22,ChristenUnie.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Studiereis Election Time '08.,"New York en Washington, Verenigde Staten",2008-10-29,2008-11-06,"Deels ChristenUnie, deels voor eigen rekening."
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Fractievoorzittersreis.,Suriname,2009-10-17,2009-10-25,Tweede Kamer der Staten-Generaal.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Werkbezoek op uitnodiging van ZOA.,Ethiopië,2011-01-29,2011-02-05,Reiskosten voor eigen rekening.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Oriëntatiereis Israël.,Israël,2009-01-02,2009-01-10,Fractie ChristenUnie.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Bezoek World Skills Masters.,"Helsinki, Finland",2005-05-27,2005-05-29,Skills-Netherlands.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Werkbezoek op uitnodiging van ZOA.,Ethiopië,2014-05-05,2014-05-10,"Deels voor rekening fractie ChristenUnie, deels voor eigen rekening."
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,Fractievoorzitterreis.,Nederlandse Antillen,2007-10-22,2007-11-02,Tweede Kamer der Staten-Generaal.
Arie Slob (A.),Oud Kamerlid,man,1961-11-16,,"Commissie Onderwijs, Cultuur en Wetenschap.",Canada,2005-05-07,2005-05-14,Tweede Kamer der Staten-Generaal.
Eric Smaling (E.M.A.),Oud Kamerlid,man,1957-08-18,,Werkbezoek vaste commissie voor Europese Zaken,"Warschau, Polen",2015-05-06,2015-05-07,Tweede Kamer der Staten-Generaal
Eric Smaling (E.M.A.),Oud Kamerlid,man,1957-08-18,,Klimaattop,"Parijs, Frankrijk",2015-12-08,2015-12-13,Tweede Kamer der Staten-Generaal
Eric Smaling (E.M.A.),Oud Kamerlid,man,1957-08-18,,Werkbezoek vaste commissie voor Europese Zaken,"Tallinn, Estland",2015-05-07,2015-05-08,Tweede Kamer der Staten-Generaal
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Beneluxparlement.,Luxemburg,2007-12-07,2007-12-08,Beneluxparlement.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Beneluxraad.,Luxemburg,2008-03-07,2008-03-08,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Werkbezoek vaste commissie voor Veiligheid en Justitie: auteursrechten,"Brussel, België",2011-10-10,2011-10-10,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Interparlementaire Beneluxraad.,België,2010-05-07,2010-05-08,Voor eigen rekening.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Beneluxraad.,Luxemburg,2009-11-13,2009-11-13,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,IPU Plenair.,"Panama City, Panama",2011-04-15,2011-04-20,IPU assemblee.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,"Werkbezoek vaste commissie voor Volksgezondheid, Welzijn en Sport.",Frankrijk,2009-07-06,2009-07-09,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Beneluxraad.,België,2009-02-06,2009-02-06,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Werkbezoek vaste commissie voor Economische Zaken.,India,2010-01-02,2010-01-10,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Beneluxraad.,België,2009-06-12,2009-06-13,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,IPU.,Ethiopië,2009-04-05,2009-04-11,IPU.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Beneluxraad.,"Brussel, België",2009-12-11,2009-12-12,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,"Werkbezoek vaste commissie voor Volksgezondheid, Welzijn en Sport","Auschwitz, Polen",2012-05-08,2012-05-11,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,"Werkbezoek vaste commissie voor Economische Zaken, Landbouw en Innovatie: WTO","Geneve, Zwitserland",2011-05-11,2011-05-12,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,"Werkbezoek vaste commissie voor Volksgezondheid, Welzijn en Sport.",België,2008-03-30,2008-03-31,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,"Beneluxraad, commissie Economische Zaken.",België,2010-05-31,2010-05-31,Beneluxraad.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Commissie Economische Zaken.,China,2005-12-11,2005-12-18,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Werkbezoek vaste commissie voor Defensie,Verenigd Koninkrijk,2010-07-20,2010-07-20,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Contactgroep Duitsland,Duitsland,2011-07-04,2011-07-09,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Interparlementaire Beneluxraad,België,2010-06-18,2010-06-19,Beneluxraad.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Europese Commissie VWS.,"Brussel, België",2011-03-13,2011-03-14,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Beneluxraad.,België,2009-03-13,2009-03-14,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,IPU,"Kampala, Uganda",2012-03-31,2012-04-05,IPU
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Werkbezoek vaste commissie voor Justitie/ werkgroep auteursrecht.,België,2008-09-22,2008-09-22,Tweede Kamer der Staten-Generaal.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,Interparlementaire Commissie Nederlandse Taalunie.,"Brussel, België",2011-01-24,2011-01-24,Commissie Nederlandse Taalunie.
Pauline Smeets (P.E.),Oud Kamerlid,vrouw,1959-02-10,,"Werkbezoek vaste commissie voor Volksgezondheid, Welzijn en Sport","Düsseldorf, Duitsland",2012-01-10,2012-01-13,Tweede Kamer der Staten-Generaal.
Paul Smeulders (P.H.M.),Oud Kamerlid,man,1987-07-15,,Werkbezoek in het kader van Wonen,"Berlijn, Duitsland",2020-01-09,2020-01-11,GroenLinks-fractie
Paul Smeulders (P.H.M.),Oud Kamerlid,man,1987-07-15,,Werkbezoek vaste commissie voor Sociale Zaken en Werkgelegenheid aan het Europees Parlement,"Brussel, België",2020-01-20,2020-01-20,Tweede Kamer der Staten-Generaal
Paul Smeulders (P.H.M.),Oud Kamerlid,man,1987-07-15,,Werkbezoek vaste commissie voor Sociale Zaken en Werkgelegenheid,"Parijs, Frankrijk",2020-03-01,2020-03-03,Tweede Kamer der Staten-Generaal
Margreeth Smilde (M.C.A.),Oud Kamerlid,vrouw,1954-06-06,,Werkbezoek vaste commissie voor Binnenlandse Zaken en Koninkrijksrelaties.,Denemarken en Zweden,2009-05-04,2009-05-09,Tweede Kamer der Staten-Generaal.
Margreeth Smilde (M.C.A.),Oud Kamerlid,vrouw,1954-06-06,,"Werkbezoek vaste commissie voor Volksgezondheid, Welzijn en Sport.",Frankrijk,2009-07-06,2009-07-10,Tweede Kamer der Staten-Generaal.
Margreeth Smilde (M.C.A.),Oud Kamerlid,vrouw,1954-06-06,,ILO Conferentie.,"Geneve, Zwitserland",2008-06-02,2008-06-06,Ministerie van Sociale Zaken en Werkgelegenheid.
José Smits (J.C.),Oud Kamerlid,vrouw,1957-06-24,,Privé-bezoek.,Engeland,2005-06-15,2005-06-20,Voor eigen rekening.
José Smits (J.C.),Oud Kamerlid,vrouw,1957-06-24,,Stichting Perspectief,Engeland,2006-11-01,2006-11-02,Stichting Perspectief
José Smits (J.C.),Oud Kamerlid,vrouw,1957-06-24,,Privé-bezoek.,Engeland,2005-03-13,2005-03-21,Voor eigen rekening.
José Smits (J.C.),Oud Kamerlid,vrouw,1957-06-24,,Privé-bezoek.,Engeland,2005-10-14,2005-10-23,Voor eigen rekening.
Joost Sneller (J.C.),Tweede Kamerlid,man,1982-07-24,,Werkbezoek vaste commissie voor Financiën,Japan,2019-07-06,2019-07-13,Tweede Kamer der Staten-Generaal
Joost Sneller (J.C.),Tweede Kamerlid,man,1982-07-24,,Italiaanse banken en begrotingsproblemen,"Milaan en Rome, Italië",2019-05-08,2019-05-10,Tweede Kamer der Staten-Generaal
Joost Sneller (J.C.),Tweede Kamerlid,man,1982-07-24,,Bezoek aan Brussel met de vaste commissie voor Financiën,"Brussel, België",2017-12-04,2017-12-04,Tweede Kamer der Staten-Generaal
Joost Sneller (J.C.),Tweede Kamerlid,man,1982-07-24,,Rapporteur digitale belasting,"Brussel, België",2019-01-09,2019-01-09,Tweede Kamer der Staten-Generaal
Joost Sneller (J.C.),Tweede Kamerlid,man,1982-07-24,,Bezoek aan Europees Parlement en Permanente Vertegenwoordiging van NL bij de Europese Unie,"Brussel, België",2022-09-29,2022-09-30,Tweede Kamerfractie D66
Joost Sneller (J.C.),Tweede Kamerlid,man,1982-07-24,,Werkbezoek vaste commissie voor Financiën,"Parijs, Frankrijk",2020-01-08,2020-01-10,Tweede Kamer der Staten-Generaal
Joost Sneller (J.C.),Tweede Kamerlid,man,1982-07-24,,"Monetair beleid en bankentoezicht (SSM, ECB en ESRB)","Frankfurt, Duitsland",2019-03-24,2019-03-25,Tweede Kamer der Staten-Generaal
Bart Snels (B.A.W.),Oud Kamerlid,man,1966-01-06,,Werkbezoek aan het Europees Parlement,"Brussel, België",2018-01-11,2018-01-12,Reis- en verblijfskosten betaald door de GroenLinksfractie Europa
Bart Snels (B.A.W.),Oud Kamerlid,man,1966-01-06,,Werkbezoek vaste commissie voor Financiën,"Parijs, Frankrijk",2020-01-08,2020-01-10,Tweede Kamer der Staten-Generaal
Bart Snels (B.A.W.),Oud Kamerlid,man,1966-01-06,,Werkbezoek vaste commissie voor Financiën aan financiële instellingen en het parlement,"Tokio, Japan",2019-07-05,2019-07-13,Tweede Kamer der Staten-Generaal
Bart Snels (B.A.W.),Oud Kamerlid,man,1966-01-06,,Werkbezoek vaste commissie voor Financiën aan financiële instellingen,"Frankfurt, Duitsland",2019-03-24,2019-03-25,Tweede Kamer der Staten-Generaal
Bart Snels (B.A.W.),Oud Kamerlid,man,1966-01-06,,Bezoek met vaste commissie voor Financiën aan Europees Parlement,"Brussel, België",2017-12-04,2017-12-04,"Treinreis met de Thalys, bekostigd door Tweede Kamer der Staten-Generaal"
Bart Snels (B.A.W.),Oud Kamerlid,man,1966-01-06,,Werkbezoek vaste commissie voor Financiën over toekomst van de EMU,"Rome en Milaan, Italië",2019-05-08,2019-05-10,Tweede Kamer der Staten-Generaal
Janneke Snijder-Hazelhoff (J.F.),Oud Kamerlid,vrouw,1952-12-26,,IFAW's Hunt Watch 2005.,Canada,2005-03-27,2005-03-31,Voor gedeelde rekening: voor eigen rekening (ticket naar Charlottetown) en IFAW (helikoptervlucht naar het jachtgebied in de Golf van St. Lawrence).
Hans Spekman (J.L.),Oud Kamerlid,man,1966-04-06,,Congres over vrouwenhandel o.a.,Bosnië,2007-06-22,2007-06-24,"AMS, Amsterdam"
Liesbeth Spies (J.W.E.),Oud Kamerlid,vrouw,1966-04-06,,Klimaatconferentie Bali.,Bali,2007-12-10,2007-12-16,"Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieu."
Liesbeth Spies (J.W.E.),Oud Kamerlid,vrouw,1966-04-06,,VN-Conferentie over klimaat.,"Montreal, Canada",2005-12-06,2005-12-10,"Voor gedeelde rekening: Deels ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieu, deels Tweede Kamer der Staten-Generaal."
Liesbeth Spies (J.W.E.),Oud Kamerlid,vrouw,1966-04-06,,Klimaatconferentie.,"Poznan, Polen",2008-12-10,2008-10-13,"Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieu."
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Uitnodiging Pax Christi.,Colombia,2006-08-21,2006-08-25,"Op kosten van Pax Christi, met uitzondering van een deel van de reiskosten"
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Werkbezoek,"Madrid, Spanje",2016-01-06,2016-01-08,SGP-fractie
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Bijwonen - herdenking bevrijding kamp Dachau 	op uitnodiging van Stichting Nederlands Dachau Comité,"Dachau, Duitsland",2015-04-29,2015-04-29,SGP-fractie
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Commissie Buitenlandse Zaken.,Afghanistan,2005-07-04,2005-07-08,"Voor gedeelde rekening: deels Ministerie van Defensie, deels Tweede Kamer der Staten-Generaal."
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Bijwonen congres op uitnodiging van Israel Allies Foundation (IAF),"Jeruzalem, Israël",2015-09-29,2015-10-01,"Israël Allies Foundation (IAF), reiskosten deels op kosten SGP"
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Congres pro family en pro life,"Budapest, Hongarije",2017-05-25,2017-05-27,"Ticket betaald door SGP-fractie. Hotelkosten door organisatie, “Budapest family summit”"
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Bezoeken AVVN,"New York, Verenigde Staten",2015-10-19,2015-10-23,Tweede Kamer der Staten-Generaal
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,IAF Chairman's Conference March 20-22 (IAF = Israel Allies Foundation),"Jeruzalem, Israel",2022-03-19,2022-03-22,Israel Allies Foundation
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Conferentie Israel Allies Foundation,"Jeruzalem, Israël",2014-10-11,2014-10-14,Israel Allies Foundation
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Bijwonen conferentie van Israel Allies Foundation,"Washington, Verenigde Staten",2013-11-12,2013-11-14,"reiskosten voor rekening SGP-fractie, overige kosten Israel Allies Foundation"
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,World Congress of Families,"Verona, Italië",2019-03-28,2019-03-30,SGP-fractie
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Aids-project.,Zuid-Afrika,2005-10-24,2005-10-31,Prisma /Woord & Daad.
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Werkbezoek algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Colombia,2019-05-04,2019-05-11,Tweede Kamer der Staten-Generaal
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Bijwonen Jerusalem Prayer Breakfast,Israël,2019-06-05,2019-06-07,SGP-fractie
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,"Studiereis inzake criminaliteitsbestrijding, mogelijkheden van adoptie en opvang van ontheemden.",Taiwan,2009-08-21,2009-08-25,Taipei Representative Office in Nederland.
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Werkbezoek.,Israël,2014-01-06,2014-01-09,SGP-fractie
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Werkbezoek.,Israël,2009-05-04,2009-05-11,"Deels voor eigen rekening, deels particuliere fondsen."
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Babyn Yar Holocaust Memorial,"Kiev, Oekraïne",2022-01-24,2022-01-25,European Jewish Association
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Werkbezoek / Conferentie Israël Allies Foundation (IAF),Israël,2016-10-18,2016-10-21,Israël Allies Foundation (IAF)
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Werkbezoek,Irak,2016-04-29,2016-05-03,Stichting Vormingsactiviteiten Oost-Europa SGP
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Bijeenkomst UN-Watch Israël,"Genève, Zwitserland",2019-03-18,2019-03-18,SGP-fractie
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Bezoek Chairman's Conference 2012,"Jeruzalem, Israël",2012-10-02,2012-10-04,Israel Allies Foundation
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Werkbezoek,Nigeria,2015-01-06,2015-01-10,SGP-fractie
Kees van der Staaij (C.G.),Tweede Kamerlid,man,1968-09-12,,Commissie Defensie.,Irak,2005-02-02,2005-02-04,Tweede Kamer der Staten-Generaal.
Mirjam Sterk (W.R.C.),Oud Kamerlid,vrouw,1973-05-23,,Conservative Party Conference 2009.,"Manchester, Engeland",2009-10-07,2009-10-08,Voor eigen rekening.
Mirjam Sterk (W.R.C.),Oud Kamerlid,vrouw,1973-05-23,,Apeldoorn Conference.,"Belfast,Noord- Ierland",2009-10-04,2009-10-06,British Counsil Netherlands
Mirjam Sterk (W.R.C.),Oud Kamerlid,vrouw,1973-05-23,,Uitnodiging van de Franse ambassadeur.,"Parijs, Frankrijk",2005-01-17,2005-01-22,Franse ambassade.
Mirjam Sterk (W.R.C.),Oud Kamerlid,vrouw,1973-05-23,,Contactplanbijeenkomst.,Aruba en Curacao,2005-01-06,2005-01-16,Tweede Kamer der Staten-Generaal.
Mirjam Sterk (W.R.C.),Oud Kamerlid,vrouw,1973-05-23,,Parlementair Overleg Koninkrijksrelaties.,Nederlandse Antillen en Aruba,2008-01-02,2008-01-13,Tweede Kamer der Staten-Generaal.
Ard van der Steur (G.A.),Oud Kamerlid,man,1969-10-07,,Werkbezoek aan diverse Europese instellingen in het kader van rapporteurschap EOM,"Brussel, België",2014-06-30,2014-06-30,Voor eigen rekening.
Ard van der Steur (G.A.),Oud Kamerlid,man,1969-10-07,,ADR Mediationcongres The Right Balance Between Trial and mediation,"Rome, Italië",2012-02-02,2012-02-05,"Vergoeding voor reiskosten en per diem uitgaven door ADR Centre (€ 698,08)."
Ard van der Steur (G.A.),Oud Kamerlid,man,1969-10-07,,Werkbezoek vaste commissie voor Veiligheid en Justitie inzake privatisering gevangenissen,Verenigd Koninkrijk,2013-06-19,2013-06-22,Tweede Kamer der Staten-Generaal.
Ard van der Steur (G.A.),Oud Kamerlid,man,1969-10-07,,Bijwonen Interparliamentary meeting on the EPPO,"Parijs, Frankrijk",2014-09-16,2014-09-17,Tweede Kamer der Staten-Generaal.
Ard van der Steur (G.A.),Oud Kamerlid,man,1969-10-07,,Werkbezoek Gevangeniswezen vaste commissie voor Veiligheid en Justitie,Noorwegen,2014-10-20,2014-10-22,Tweede Kamer der Staten-Generaal.
Ard van der Steur (G.A.),Oud Kamerlid,man,1969-10-07,,Conferentie van Europese mediation experts uit verschillende EU-landen,"Milaan, Italië",2011-11-05,2011-11-07,Voor eigen rekening.
Chris Stoffer (C.),Tweede Kamerlid,man,1974-09-19,,Werkbezoek,Israël,2019-07-08,2019-07-13,SGP-fractie Tweede Kamer
Chris Stoffer (C.),Tweede Kamerlid,man,1974-09-19,,Werkbezoek algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Uganda en Ethiopië,2018-07-09,2018-07-17,Tweede Kamer der Staten-Generaal
Chris Stoffer (C.),Tweede Kamerlid,man,1974-09-19,,Bijwonen Jerusalem Prayer Breakfast,"Jeruzalem, Israël",2022-05-31,2022-06-03,Betaald door SGP-fractie
Chris Stoffer (C.),Tweede Kamerlid,man,1974-09-19,,Uitnodiging van Christenen voor Israël,Israël,2022-07-09,2022-07-15,Deels betaald door SGP-fractie en door de R.- en E. Konig Stichting
Piet Straub (P.A.J.),Oud Kamerlid,man,1946-08-21,,,(nog) geen opgave,,,
Karin Straus (K.C.J.),Oud Kamerlid,vrouw,1971-04-06,,"Werkbezoek vaste commissie voor Onderwijs, Wetenschap en Cultuur","Lille, Frankrijk",2014-10-03,2014-10-04,Tweede Kamer der Staten Generaal
Karin Straus (K.C.J.),Oud Kamerlid,vrouw,1971-04-06,,Werkbezoek tijdelijke commissie LURA,Bulgarije en Roemenië,2011-08-21,2011-08-26,Tweede Kamer der Staten Generaal
Hannie Stuurman (H.),Oud Kamerlid,vrouw,1963-10-28,,Parlementair comité Nederland-Australië,Australië,2006-10-07,2006-10-17,"Tweede Kamer der Staten Generaal (vliegtickets), verblijf in Australië door het Australisch Parlement, 1 dag extra in Kuala Lumpur voor eigen rekening"
Hannie Stuurman (H.),Oud Kamerlid,vrouw,1963-10-28,,Socialist International Women,"Athene, Griekenland",2006-01-26,2006-01-28,Internationaal Secretariaat PvdA.
